Community District,CMBD,Total Population,Majority Race,Median Income,Complaints
Manhattan   1,101,60978,White,"$104,116 ",8954
Manhattan   2,102,90016,White,"$104,116 ",14962
Manhattan   3,103,163277,Asian,"$36,994 ",19544
Manhattan   4,104,103245,White,"$79,138 ",18336
Manhattan   5,105,51673,White,"$79,138 ",16685
Manhattan   6,106,142745,White,"$101,018 ",14043
Manhattan   7,107,209084,White,"$96,276 ",18786
Manhattan   8,108,219920,White,"$105,760 ",19682
Manhattan   9,109,110193,Hispanic,"$37,028 ",15742
Manhattan 10,110,115723,African American,"$31,197 ",17900
Manhattan 11,111,120511,Hispanic,"$30,674 ",13517
Manhattan 12,112,190020,Hispanic,"$36,345 ",35380
Bronx   1,201,91497,Hispanic,"$19,714 ",10059
Bronx   2,202,52246,Hispanic,"$19,714 ",7165
Bronx   3,203,79762,Hispanic,"$20,596 ",8769
Bronx   4,204,146441,Hispanic,"$25,255 ",22623
Bronx   5,205,128200,Hispanic,"$24,492 ",20885
Bronx   6,206,83268,Hispanic,"$20,596 ",12299
Bronx   7,207,139286,Hispanic,"$30,782 ",24379
Bronx   8,208,101731,Hispanic,"$53,442 ",12914
Bronx   9,209,172298,Hispanic,"$37,396 ",19117
Bronx 10,210,120392,Hispanic,"$56,536 ",12282
Bronx 11,211,113232,Hispanic,"$44,673 ",15761
Bronx 12,212,152344,African American,"$47,600 ",21043
Brooklyn  1,301,173083,White,"$39,707 ",24307
Brooklyn  2,302,99617,White,"$62,181 ",14696
Brooklyn  3,303,152985,African American,"$33,265 ",25057
Brooklyn  4,304,112634,Hispanic,"$32,328 ",16317
Brooklyn  5,305,182896,African American,"$32,727 ",22077
Brooklyn  6,306,104709,White,"$80,072 ",13469
Brooklyn  7,307,126230,Hispanic,"$43,815 ",12887
Brooklyn  8,308,96317,African American,"$39,270 ",16901
Brooklyn  9,309,98429,African American,"$37,948 ",16831
Brooklyn 10,310,124491,White,"$53,738 ",13380
Brooklyn 11,311,181981,White,"$40,917 ",17100
Brooklyn 12,312,191382,White,"$41,096 ",18067
Brooklyn 13,313,104278,White,"$31,776 ",8772
Brooklyn 14,314,160664,White,"$42,497 ",22261
Brooklyn 15,315,159650,White,"$46,446 ",17903
Brooklyn 16,316,86468,African American,"$25,954 ",10048
Brooklyn 17,317,155252,African American,"$43,873 ",23308
Brooklyn 18,318,193543,African American,"$62,997 ",18808
Queens  1,401,191105,White,"$48,008 ",23279
Queens  2,402,113200,Hispanic,"$51,992 ",14800
Queens  3,403,171576,Hispanic,"$49,913 ",14651
Queens  4,404,172598,Hispanic,"$44,008 ",12983
Queens  5,405,169190,White,"$53,378 ",20796
Queens  6,406,113257,White,"$65,183 ",11600
Queens  7,407,247354,Asian,"$54,708 ",22781
Queens  8,408,151107,White,"$59,472 ",15080
Queens  9,409,143317,Hispanic,"$53,868 ",17019
Queens 10,410,122396,White,"$60,021 ",14270
Queens 11,411,116431,White,"$72,861 ",12003
Queens 12,412,225919,African American,"$51,416 ",25551
Queens 13,413,188593,African American,"$74,395 ",18690
Queens 14,414,114978,African American,"$45,221 ",11790
Staten Island   1,501,175756,White,"$57,410 ",22360
Staten Island   2,502,132003,White,"$73,280 ",14650
Staten Island   3,503,160209,White,"$86,582 ",17473
